County,30 minutes or longer,Directly to the Other ,Extended ,Religious ,Chief/ ,Other ,County Government Official,Traditional  Leader/  Elder,Mp (National Assembly/Senate),Member of County assembly (MCA),Police,Courts,Firewood,Electricity,(LPG) ,Biogas,Kerosene,Charcoal,Straw Shrubs Grass,Animal Dung,Agricultural Crop Residue,Other,No facility/ Bush/Field,14-17 Years Not Currently Attending,County,PPS_Female,PPS_Total ,Primary School Male,PS_Female,PS_Total ,Secondary School _Male,SS_Female,SS_Total ,Traditional healer, Maternal & Child Health Care (MCH) ,NHIF,(Source of Health Insurance)_Private-Contributory,SHI_Private-Non-Contributory,SHI_Employer-Contributory,SHI_Employer-Non-Contributory, At Home,TBA ,Vaccination Card_No,Height-for-Age_Percentage below -2SD,Weight-for-Age_Percentage below -2SD,Weight-for-Height_Percentage below -2SD,Did Not Participate in Growth Monitoring Clinics,Proportion of households that sought credit (%),Proportion of population that have a mobile phone (%),Proportion that took a trip,Droughts or Floods,Crop disease or crop pests,Livestock died,Livestock were stolen,"Household business failure, nonAgricultural",Loss of salaried employment or non-payment of salary,"End of regular assistance, aid, or remittances from outside the household",Large fall in sale prices for crops,Large rise in price of food,Robbery /Bulglery,Proportions of households reporting Greivances
National,11.6,13.2,8.1,0.8,23.3,2.8,1,7,0,0.1,11.7,9.3,54.6,1,13.4,0.2,14,14.6,0,0.1,0.2,1.6,8.4,9.8,62.5,65,63.5,81.7,83,82.4,35.4,39.8,37.5,31.4,37.6,93.9,4.2,1,6.2,1,31.3,14.7,6.5,29.9,13,6.7,16.4,33.7,76.7,13.4,13.7,6.7,8.9,2.3,3.9,4.7,1.2,2.2,11,4.5,16
Rural,17.5,10.6,9.7,0.9,27.8,3.6,1,9.2,0.1,0,8.9,8.4,84.3,0.3,2.5,0.2,2.3,8.9,0,0,0.3,0.9,13.9,8.9,59,60.5,59.9,80,81.4,80.7,30.6,34.5,32.4,35.9,34.8,92.2,5.8,1.1,2.5,0.5,40.7,19.8,7.2,32.4,14.5,6.8,16.2,34.2,68.8,8.4,18.5,8.8,11.3,2.7,2.7,2.3,1.1,2.6,6.4,2.2,16.7
Urban,4.1,17,5.8,0.7,17.1,1.7,1,3.9,0,0.1,15.7,10.7,16.1,2,27.6,0.2,29,21.9,0,0.1,0,2.4,1.4,12,68.3,73.3,70.8,85.9,86.9,86.4,48.3,52.6,50.5,22.7,45.1,95.3,2.8,1,9.2,1.3,13.3,5.2,5.2,24.5,9.8,6.3,16.8,33.1,88.2,22.4,5.7,3.1,4.8,1.6,6,8.7,1.3,1.5,18.6,8.3,15.2
Mombasa,6,0,0,1.2,12.6,1.3,0,0,0,0,13.5,4.1,2.7,1.2,18.4,0.2,43.3,23.4,0,0.3,0,10.2,0.3,18.3,73.5,81,77.6,85.3,87,86.3,57.7,55.9,56.8,12,73.1,96.8,3.7,3.9,4.3,2.3,9.9,2.6,7.2,26.6,10.4,9.7,22.2,,93.1,22.8,0.6,0,2.5,0,6.3,14.1,0,0,14.3,20.5,12.3
Kwale,17.6,1.4,15,1.1,25.9,7.8,0,4.9,0,0,9.5,4.3,71.7,0.1,6.6,0,7.7,12.2,0,0,0,1.7,43.3,15.4,53.3,65.2,60.2,65.9,68.2,67,15.4,15.7,15.5,46.9,28.8,95.9,10.1,1.2,0.3,2.1,29.4,12.4,5,35.5,10.2,3.4,2.6,32.9,65.4,10.6,10.2,0.7,9.2,1.2,0.8,7.5,0,0.2,12.6,2.4,22.4
Kilifi,6,13.9,14.5,9.3,29,6.9,0.7,1.3,0,0,3.8,10.3,50.2,1,7.6,0.4,7.9,29.5,0,0,0,1.7,14.7,9.8,61.1,66,64.7,69.3,76.1,72.9,22.7,17.7,20.4,49.8,26.5,95.9,1.3,1,10.5,0.5,35.3,22.1,1.6,29.9,17.4,4.8,3.1,27.1,73.1,12.9,15,2.1,6,0.9,6.2,8.3,0.3,0,21.1,1.6,15.7
Tana River,11,27.4,10.7,6.5,22.7,4.7,0.3,8.3,0,0,0,9.8,51.7,0,1.1,0.4,0.2,43.1,0,0,0,3.3,34.4,14.4,56,53.3,54.6,68.8,69.4,69.1,33.9,15.2,27,30.9,85.3,97.7,17.6,0,3.9,1.4,53.3,25.9,8.6,24.6,14.7,8.2,55.3,16.2,61,16.5,32.9,1.4,7.5,3.6,0.7,0,0,0.3,7.7,1.3,10.4
Lamu,10.2,21.7,23.1,0,8.2,4,0,6.3,0,0,7.1,15.3,58.4,1.1,5.3,0.2,2.4,31.5,0,0,0,1.2,9.4,15.3,64.1,62,62.8,79.3,71.4,75.1,22.6,36.4,30.1,31.5,25.4,97.5,2.4,0.3,2.4,0.8,44.8,8.7,5.6,30.9,17.7,8.8,0.9,35.7,67.3,19.1,3.9,2.4,4.8,2.2,10.3,2.9,1.9,0,1.5,7.3,29.5
Taita/Taveta,12.9,17.9,16.9,5.8,17.3,4.6,0,13.5,0,0,3.7,14.6,56.6,0,10.8,0.2,10.8,21.1,0,0,0,0.5,0.8,9.5,76,81.3,78.4,88.5,85,86.7,34.2,51.6,43.6,48.4,33.4,87,0.9,0.8,4.8,0.9,20.3,4.5,3.3,24.8,12.1,7.1,2,36.1,82.7,14.7,18.6,2,6.9,1.2,4,2.5,0.4,2.5,9.2,1.6,13.3
Garissa,5.3,0,11.8,0,0,0,0,0,0,0,0,44.1,57.1,0.4,0.5,0,0.3,36.1,0,0,0,4.8,43,7.4,1.9,6.8,4.4,41.8,33.5,37.8,15.3,19,17.2,3.2,26.6,89.5,0,0.9,15.4,0,54,10.7,48.5,8.3,13.9,27.6,38.9,11.4,76.6,3.8,41.7,0,12.8,0.7,0,2.5,0,0,11.1,0,1.7
Wajir,31.6,14.7,9.3,0,13.5,0,0,0,0,0,7.5,0,97,0.1,0.1,0.1,0,2.1,0,0,0.1,0.3,50.8,9.1,10.5,4.9,8.5,53,53.2,53.1,16.9,25.3,20.3,22,22.8,90.8,21.4,0,0,0,77.6,60.3,24.5,24.7,16.1,11.6,91.5,62.4,59,1.3,17.3,0,21.8,1.5,0.8,0.3,0,0,0.8,0.9,1.8
Mandera,25,11.1,15.5,2.4,23,0,0,10.1,0,0,5.9,0,81.8,0.4,0,0,0,17.2,0,0,0.3,0.3,50.1,7.4,12,8.5,10.5,62,54.5,58.2,31.8,17,25.9,30.6,2.3,91.3,2.5,0,3.1,0,70.8,65.5,12.3,47.6,43.8,17.2,37.1,6,52.1,2.8,8.7,0,22.6,1.3,0.5,0.3,1.3,0.1,12.9,2.5,11.5
Marsabit,14.5,0,0,21.5,0,3.4,0,28.3,0,0,2.9,11.4,81.9,2.3,1.2,0,1.4,11,0.8,0,0,1.5,51.5,11.3,29.7,32.1,30.4,50.8,56.3,53.2,24,23.4,23.7,38.7,95.6,85.6,0,0,26.1,0,70.1,50.1,10.3,33,30.9,25,14.9,11.1,59.6,1.6,29.8,0.5,18,2.9,0.8,1.3,1.4,0,1.9,0,3.1
Isiolo,11.1,0,9.1,0,22.1,0,9,5.4,0,0,36.4,18,52.4,0,8.9,0,1.9,36.2,0,0,0,0.6,21.6,13,53.7,56.2,54.3,74.7,69.4,72.2,33,28.7,30.9,9.5,12.1,100,6.9,0,0,6.6,54.8,28.6,9,22.8,18.4,30,8.2,11.2,74.8,11.7,10.1,0.4,32.3,7.5,1.1,3,0,0,12.3,2.1,2.5
